Tamanio,Mejor Caso,Peor Caso,Caso Promedio
0,0.0000002000,0.0000001000,0.0000000000
1,0.0000000000,0.0000000000,0.0000001000
2,0.0000002000,0.0000001000,0.0000002000
3,0.0000001000,0.0000002000,0.0000002000
4,0.0000002000,0.0000002000,0.0000002000
5,0.0000002000,0.0000002000,0.0000004000
6,0.0000003000,0.0000004000,0.0000004000
7,0.0000003000,0.0000004000,0.0000005000
8,0.0000004000,0.0000005000,0.0000005000
9,0.0000003000,0.0000006000,0.0000008000
10,0.0000004000,0.0000007000,0.0000007000
11,0.0000004000,0.0000007000,0.0000008000
12,0.0000005000,0.0000009000,0.0000007000
13,0.0000005000,0.0000010000,0.0000008000
14,0.0000005000,0.0000011000,0.0000010000
15,0.0000005000,0.0000012000,0.0000012000
16,0.0000006000,0.0000014000,0.0000023000
17,0.0000009000,0.0000015000,0.0000013000
18,0.0000007000,0.0000028000,0.0000011000
19,0.0000007000,0.0000016000,0.0000013000
20,0.0000007000,0.0000017000,0.0000013000
21,0.0000007000,0.0000018000,0.0000012000
22,0.0000007000,0.0000020000,0.0000014000
23,0.0000008000,0.0000021000,0.0000015000
24,0.0000008000,0.0000022000,0.0000016000
25,0.0000008000,0.0000025000,0.0000018000
26,0.0000009000,0.0000026000,0.0000017000
27,0.0000009000,0.0000031000,0.0000020000
28,0.0000010000,0.0000033000,0.0000021000
29,0.0000010000,0.0000034000,0.0000020000
30,0.0000010000,0.0000036000,0.0000021000
31,0.0000011000,0.0000039000,0.0000022000
32,0.0000011000,0.0000038000,0.0000022000
33,0.0000011000,0.0000039000,0.0000022000
34,0.0000012000,0.0000045000,0.0000027000
35,0.0000012000,0.0000047000,0.0000030000
36,0.0000013000,0.0000051000,0.0000027000
37,0.0000012000,0.0000054000,0.0000034000
38,0.0000014000,0.0000060000,0.0000033000
39,0.0000015000,0.0000063000,0.0000032000
40,0.0000015000,0.0000066000,0.0000034000
41,0.0000014000,0.0000064000,0.0000029000
42,0.0000015000,0.0000066000,0.0000031000
43,0.0000016000,0.0000069000,0.0000033000
44,0.0000016000,0.0000082000,0.0000035000
45,0.0000015000,0.0000068000,0.0000032000
46,0.0000016000,0.0000071000,0.0000032000
47,0.0000016000,0.0000075000,0.0000034000
48,0.0000016000,0.0000077000,0.0000033000
49,0.0000017000,0.0000080000,0.0000032000
50,0.0000017000,0.0000083000,0.0000038000
