Tamanio,Mejor Caso,Peor Caso,Caso Promedio
0,0.0000001000,0.0000001000,0.0000001000
1,0.0000001000,0.0000000000,0.0000000000
2,0.0000003000,0.0000002000,0.0000002000
3,0.0000002000,0.0000003000,0.0000001000
4,0.0000007000,0.0000002000,0.0000002000
5,0.0000003000,0.0000003000,0.0000003000
6,0.0000003000,0.0000003000,0.0000004000
7,0.0000003000,0.0000004000,0.0000005000
8,0.0000003000,0.0000005000,0.0000005000
9,0.0000003000,0.0000005000,0.0000006000
10,0.0000004000,0.0000007000,0.0000008000
11,0.0000004000,0.0000008000,0.0000009000
12,0.0000005000,0.0000009000,0.0000009000
13,0.0000005000,0.0000010000,0.0000010000
14,0.0000005000,0.0000011000,0.0000011000
15,0.0000005000,0.0000013000,0.0000011000
16,0.0000006000,0.0000016000,0.0000013000
17,0.0000007000,0.0000017000,0.0000015000
18,0.0000007000,0.0000019000,0.0000016000
19,0.0000008000,0.0000020000,0.0000017000
20,0.0000009000,0.0000022000,0.0000018000
21,0.0000010000,0.0000027000,0.0000021000
22,0.0000010000,0.0000027000,0.0000024000
23,0.0000010000,0.0000030000,0.0000023000
24,0.0000011000,0.0000032000,0.0000021000
25,0.0000011000,0.0000034000,0.0000022000
26,0.0000013000,0.0000038000,0.0000030000
27,0.0000012000,0.0000040000,0.0000027000
28,0.0000013000,0.0000042000,0.0000028000
29,0.0000016000,0.0000043000,0.0000026000
30,0.0000013000,0.0000045000,0.0000027000
31,0.0000013000,0.0000049000,0.0000032000
32,0.0000014000,0.0000052000,0.0000031000
33,0.0000015000,0.0000054000,0.0000030000
34,0.0000015000,0.0000058000,0.0000034000
35,0.0000015000,0.0000060000,0.0000035000
36,0.0000016000,0.0000063000,0.0000045000
37,0.0000015000,0.0000091000,0.0000041000
38,0.0000021000,0.0000127000,0.0000044000
39,0.0000022000,0.0000113000,0.0000055000
40,0.0000025000,0.0000088000,0.0000052000
41,0.0000026000,0.0000324000,0.0000059000
42,0.0000026000,0.0000137000,0.0000055000
43,0.0000027000,0.0000126000,0.0000053000
44,0.0000024000,0.0000122000,0.0000053000
45,0.0000033000,0.0000113000,0.0000044000
46,0.0000026000,0.0000132000,0.0000061000
47,0.0000030000,0.0000179000,0.0000060000
48,0.0000031000,0.0000394000,0.0000080000
49,0.0000046000,0.0000214000,0.0000074000
