Tamanio,Mejor Caso,Peor Caso,Caso Promedio
0,0.0000001000,0.0000000000,0.0000000000
1,0.0000000000,0.0000001000,0.0000000000
2,0.0000003000,0.0000001000,0.0000002000
3,0.0000001000,0.0000002000,0.0000001000
4,0.0000002000,0.0000002000,0.0000003000
5,0.0000003000,0.0000003000,0.0000004000
6,0.0000002000,0.0000003000,0.0000004000
7,0.0000003000,0.0000005000,0.0000007000
8,0.0000004000,0.0000006000,0.0000006000
9,0.0000004000,0.0000007000,0.0000006000
10,0.0000005000,0.0000007000,0.0000007000
11,0.0000006000,0.0000008000,0.0000008000
12,0.0000004000,0.0000008000,0.0000009000
13,0.0000004000,0.0000010000,0.0000008000
14,0.0000004000,0.0000010000,0.0000010000
15,0.0000005000,0.0000010000,0.0000008000
16,0.0000005000,0.0000013000,0.0000010000
17,0.0000005000,0.0000013000,0.0000012000
18,0.0000007000,0.0000015000,0.0000013000
19,0.0000006000,0.0000017000,0.0000013000
20,0.0000007000,0.0000018000,0.0000014000
21,0.0000007000,0.0000021000,0.0000016000
22,0.0000008000,0.0000020000,0.0000014000
23,0.0000007000,0.0000021000,0.0000016000
24,0.0000007000,0.0000022000,0.0000016000
25,0.0000008000,0.0000025000,0.0000017000
26,0.0000009000,0.0000027000,0.0000016000
27,0.0000010000,0.0000127000,0.0000019000
28,0.0000009000,0.0000031000,0.0000020000
29,0.0000009000,0.0000034000,0.0000022000
30,0.0000021000,0.0000033000,0.0000020000
31,0.0000010000,0.0000035000,0.0000023000
32,0.0000011000,0.0000036000,0.0000024000
33,0.0000011000,0.0000038000,0.0000021000
34,0.0000012000,0.0000040000,0.0000022000
35,0.0000012000,0.0000043000,0.0000024000
36,0.0000012000,0.0000045000,0.0000024000
37,0.0000013000,0.0000060000,0.0000024000
38,0.0000011000,0.0000049000,0.0000027000
39,0.0000012000,0.0000051000,0.0000026000
40,0.0000012000,0.0000054000,0.0000028000
41,0.0000014000,0.0000057000,0.0000029000
42,0.0000013000,0.0000061000,0.0000029000
43,0.0000014000,0.0000064000,0.0000029000
44,0.0000015000,0.0000065000,0.0000032000
45,0.0000027000,0.0000068000,0.0000033000
46,0.0000015000,0.0000070000,0.0000032000
47,0.0000015000,0.0000074000,0.0000033000
48,0.0000016000,0.0000079000,0.0000034000
49,0.0000018000,0.0000079000,0.0000033000
50,0.0000017000,0.0000102000,0.0000043000
51,0.0000021000,0.0000106000,0.0000045000
52,0.0000023000,0.0000113000,0.0000043000
53,0.0000025000,0.0000131000,0.0000057000
54,0.0000027000,0.0000136000,0.0000062000
55,0.0000027000,0.0000131000,0.0000056000
56,0.0000026000,0.0000148000,0.0000068000
57,0.0000029000,0.0000157000,0.0000079000
