Tamanio,Mejor Caso,Peor Caso,Caso Promedio
0,0.0000001000,0.0000001000,0.0000001000
1,0.0000000000,0.0000001000,0.0000000000
2,0.0000012000,0.0000033000,0.0000005000
3,0.0000009000,0.0000007000,0.0000005000
4,0.0000011000,0.0000009000,0.0000009000
5,0.0000014000,0.0000012000,0.0000011000
6,0.0000020000,0.0000014000,0.0000014000
7,0.0000019000,0.0000017000,0.0000016000
8,0.0000020000,0.0000020000,0.0000020000
9,0.0000018000,0.0000017000,0.0000017000
10,0.0000021000,0.0000033000,0.0000033000
11,0.0000045000,0.0000039000,0.0000040000
12,0.0000035000,0.0000033000,0.0000034000
13,0.0000046000,0.0000044000,0.0000040000
14,0.0000041000,0.0000038000,0.0000046000
15,0.0000044000,0.0000046000,0.0000053000
16,0.0000047000,0.0000042000,0.0000045000
17,0.0000049000,0.0000052000,0.0000051000
18,0.0000060000,0.0000051000,0.0000052000
19,0.0000062000,0.0000058000,0.0000068000
20,0.0000039000,0.0000037000,0.0000040000
21,0.0000040000,0.0000040000,0.0000049000
22,0.0000047000,0.0000043000,0.0000047000
23,0.0000052000,0.0000046000,0.0000080000
24,0.0000052000,0.0000047000,0.0000051000
25,0.0000056000,0.0000085000,0.0000051000
26,0.0000048000,0.0000057000,0.0000049000
27,0.0000054000,0.0000048000,0.0000052000
28,0.0000050000,0.0000048000,0.0000058000
29,0.0000053000,0.0000052000,0.0000058000
30,0.0000087000,0.0000055000,0.0000060000
31,0.0000066000,0.0000060000,0.0000073000
32,0.0000068000,0.0000062000,0.0000069000
33,0.0000068000,0.0000074000,0.0000065000
34,0.0000061000,0.0000063000,0.0000065000
35,0.0000065000,0.0000064000,0.0000067000
36,0.0000069000,0.0000066000,0.0000101000
37,0.0000134000,0.0000165000,0.0000162000
38,0.0000125000,0.0000071000,0.0000078000
39,0.0000090000,0.0000069000,0.0000077000
40,0.0000080000,0.0000074000,0.0000082000
41,0.0000090000,0.0000073000,0.0000081000
42,0.0000081000,0.0000162000,0.0000090000
43,0.0000093000,0.0000093000,0.0000098000
44,0.0000092000,0.0000102000,0.0000093000
45,0.0000087000,0.0000090000,0.0000105000
46,0.0000102000,0.0000103000,0.0000093000
47,0.0000115000,0.0000086000,0.0000102000
48,0.0000095000,0.0000089000,0.0000104000
49,0.0000149000,0.0000097000,0.0000106000
50,0.0000129000,0.0000098000,0.0000112000
51,0.0000112000,0.0000094000,0.0000108000
52,0.0000104000,0.0000105000,0.0000129000
53,0.0000101000,0.0000100000,0.0000115000
54,0.0000113000,0.0000104000,0.0000131000
55,0.0000118000,0.0000112000,0.0000139000
56,0.0000108000,0.0000116000,0.0000171000
57,0.0000227000,0.0000127000,0.0000116000
58,0.0000270000,0.0000111000,0.0000136000
59,0.0000122000,0.0000124000,0.0000149000
60,0.0000119000,0.0000120000,0.0000149000
61,0.0000121000,0.0000122000,0.0000135000
62,0.0000224000,0.0000194000,0.0000221000
63,0.0000192000,0.0000134000,0.0000156000
64,0.0000121000,0.0000121000,0.0000139000
65,0.0000130000,0.0000149000,0.0000326000
66,0.0000197000,0.0000161000,0.0000159000
67,0.0000134000,0.0000137000,0.0000146000
68,0.0000146000,0.0000140000,0.0000175000
69,0.0000166000,0.0000276000,0.0000159000
70,0.0000161000,0.0000155000,0.0000182000
71,0.0000198000,0.0000235000,0.0000207000
72,0.0000161000,0.0000218000,0.0000160000
73,0.0000160000,0.0000153000,0.0000178000
74,0.0000151000,0.0000217000,0.0000188000
75,0.0000176000,0.0000178000,0.0000202000
76,0.0000175000,0.0000148000,0.0000176000
77,0.0000171000,0.0000163000,0.0000198000
78,0.0000174000,0.0000172000,0.0000202000
79,0.0000177000,0.0000164000,0.0000190000
80,0.0000149000,0.0000154000,0.0000172000
81,0.0000156000,0.0000249000,0.0000246000
82,0.0000177000,0.0000170000,0.0000202000
83,0.0000162000,0.0000157000,0.0000184000
84,0.0000165000,0.0000167000,0.0000206000
85,0.0000199000,0.0000192000,0.0000233000
86,0.0000211000,0.0000187000,0.0000198000
87,0.0000176000,0.0000169000,0.0000204000
88,0.0000174000,0.0000171000,0.0000208000
89,0.0000202000,0.0000227000,0.0000305000
90,0.0000361000,0.0000346000,0.0000439000
91,0.0000233000,0.0000250000,0.0000308000
92,0.0000264000,0.0000244000,0.0000325000
93,0.0000324000,0.0000301000,0.0000343000
94,0.0000282000,0.0000346000,0.0000395000
95,0.0000293000,0.0000274000,0.0000325000
96,0.0000286000,0.0000277000,0.0000387000
97,0.0000307000,0.0000379000,0.0000333000
98,0.0000279000,0.0000219000,0.0000289000
99,0.0000252000,0.0000259000,0.0000253000
100,0.0000225000,0.0000219000,0.0000259000
