Tamanio,Mejor Caso,Peor Caso,Caso Promedio
0,0.0000002000,0.0000000000,0.0000000000
1,0.0000000000,0.0000000000,0.0000000000
2,0.0000007000,0.0000020000,0.0000003000
3,0.0000006000,0.0000004000,0.0000004000
4,0.0000008000,0.0000006000,0.0000006000
5,0.0000014000,0.0000008000,0.0000008000
6,0.0000012000,0.0000011000,0.0000010000
7,0.0000016000,0.0000014000,0.0000013000
8,0.0000016000,0.0000015000,0.0000016000
9,0.0000022000,0.0000018000,0.0000018000
10,0.0000022000,0.0000019000,0.0000024000
11,0.0000025000,0.0000021000,0.0000023000
12,0.0000027000,0.0000023000,0.0000025000
13,0.0000029000,0.0000026000,0.0000028000
14,0.0000033000,0.0000032000,0.0000028000
15,0.0000033000,0.0000028000,0.0000030000
16,0.0000034000,0.0000040000,0.0000032000
17,0.0000038000,0.0000032000,0.0000035000
18,0.0000038000,0.0000033000,0.0000038000
19,0.0000038000,0.0000041000,0.0000039000
20,0.0000039000,0.0000039000,0.0000041000
21,0.0000056000,0.0000037000,0.0000043000
22,0.0000041000,0.0000039000,0.0000042000
23,0.0000047000,0.0000047000,0.0000046000
24,0.0000046000,0.0000045000,0.0000049000
25,0.0000051000,0.0000058000,0.0000048000
26,0.0000047000,0.0000045000,0.0000050000
27,0.0000052000,0.0000048000,0.0000053000
28,0.0000051000,0.0000049000,0.0000058000
29,0.0000055000,0.0000053000,0.0000063000
30,0.0000058000,0.0000053000,0.0000167000
31,0.0000058000,0.0000059000,0.0000062000
32,0.0000058000,0.0000056000,0.0000067000
33,0.0000062000,0.0000061000,0.0000065000
34,0.0000070000,0.0000062000,0.0000066000
35,0.0000067000,0.0000069000,0.0000070000
36,0.0000068000,0.0000065000,0.0000080000
37,0.0000072000,0.0000067000,0.0000080000
38,0.0000072000,0.0000071000,0.0000078000
39,0.0000078000,0.0000070000,0.0000080000
40,0.0000080000,0.0000072000,0.0000081000
41,0.0000083000,0.0000077000,0.0000084000
42,0.0000083000,0.0000076000,0.0000090000
43,0.0000087000,0.0000081000,0.0000090000
44,0.0000087000,0.0000081000,0.0000090000
45,0.0000092000,0.0000085000,0.0000094000
46,0.0000091000,0.0000085000,0.0000097000
47,0.0000092000,0.0000088000,0.0000100000
48,0.0000141000,0.0000090000,0.0000099000
49,0.0000096000,0.0000090000,0.0000106000
50,0.0000093000,0.0000092000,0.0000108000
